 Dates ; HF Index ; UST ; SPX ; RTY ; SX5E ; TPX ; EUR ; JPY ; MSCI_EM 
31/12/1993;0.0361;0.0028;0.0085;0.0297;0.081;0.0597;-0.0143;-0.0261;0.1615
31/01/1994;0.0223;0.0149;0.0316;0.028;0.0157;0.1595;0.0009;0.0287;0.015
28/02/1994;-0.0081;-0.0283;-0.0323;-0.0063;-0.0425;-0.0134;0.0161;0.0379;-0.021
31/03/1994;-0.0181;-0.0353;-0.0443;-0.0575;-0.0219;-0.0463;0.0166;0.0229;-0.095
30/04/1994;-0.009;-0.0093;0.0081;0.0029;0.0457;0.0302;0.0107;0.005;-0.0253
31/05/1994;0.0035;-0.0032;0.013;-0.0163;-0.0408;0.0614;0.0031;-0.0325;0.0287
30/06/1994;-0.0009;-0.008;-0.0297;-0.0397;-0.0516;-0.0175;0.0353;0.062;-0.033
31/07/1994;0.0097;0.0211;0.0311;0.0119;0.0719;-0.0112;0.0011;-0.0192;0.0579
31/08/1994;0.0208;0.0011;0.0331;0.0506;0.0158;0.007; -     ;-0.0016;0.1192
30/09/1994;0.0048;-0.0265;-0.0283;-0.0087;-0.0683;-0.0537;0.0187;0.0082;0.0064
31/10/1994;-0.0045;-0.0082;0.0198;-0.0085;0.0196;0.0198;0.0298;0.0207;-0.0236
30/11/1994;-0.0169;-0.0038;-0.0392;-0.0465;-0.0054;-0.0476;-0.0437;-0.0227;-0.0574
31/12/1994;-0.0059;0.0047;0.0093;0.02;-0.0048;0.032;0.0113;-0.0104;-0.0861
31/01/1995;-0.007;0.0175;0.0235;-0.019;-0.0208;-0.0563;0.0157;-0.0033;-0.1121
28/02/1995;0.0069;0.0264;0.0346;0.0343;0.0105;-0.0875;0.0447;0.0278;-0.0317
31/03/1995;0.0079;0.0005;0.024;0.0113;-0.0131;-0.0555;0.0602;0.1137;-0.0012
30/04/1995;0.0139;0.0136;0.0245;0.0156;0.035;0.0398;-0.0138;0.0255;0.0379
31/05/1995;0.009;0.0468;0.0321;0.0103;0.032;-0.0827;-0.0177;-0.0067;0.0455
30/06/1995;0.0159;0.0032;0.0172;0.0445;-0.0081;-0.0607;0.0212;-0.0085;-0.0041
31/07/1995;0.0249;-0.0108;0.0292;0.0516;0.0537;0.1477;-0.0046;-0.0437;0.0159
31/08/1995;0.0161;0.0097;-0.0005;0.0138;-0.0041;0.0856;-0.0592;-0.0971;-0.0298
30/09/1995;0.0101;0.0069;0.0366;0.0117;-0.0101;-0.012;0.0278;-0.0291;-0.011
31/10/1995;-0.0119;0.0118;-0.0074;-0.0504;-0.0114;-0.0148;0.0121;-0.0262;-0.0441
30/11/1995;0.0101;0.015;0.0401;0.0368;0.0313;0.0613;-0.0293;-0.0046;-0.0237
31/12/1995;0.017;0.0107;0.0093;0.019;0.0328;0.0595;0.006;-0.0176;0.0375
31/01/1996;0.0253;0.0021;0.0315;-0.0066;0.0672;0.0472;-0.0349;-0.038;0.0654
29/02/1996;0.0065;-0.0292;0.0005;0.0257;-0.0113;-0.0335;0.0105;0.0131;-0.0221
31/03/1996;0.0086;-0.0167;0.0109;0.0135;0.0081;0.063;-0.0066;-0.0216;0.0015
30/04/1996;0.0395;-0.0131;0.0055;0.0484;0.0366;0.0291;-0.038;0.0166;0.0319
31/05/1996;0.0225;-0.0092;0.0185;0.0344;0.0089;-0.0043;0.0042;-0.033;-0.0114
30/06/1996;-0.0045;0.0136;0.006;-0.0466;-0.0023;0.0257;0.0001;-0.0173;-0.0004
31/07/1996;-0.0266;-0.0035;-0.0508;-0.0929;-0.0448;-0.082;0.033;0.0234;-0.0748
31/08/1996;0.0174;-0.009;0.0139;0.052;0.005;-0.0258;-0.0091;-0.0251;0.0196
30/09/1996;0.0175;0.0166;0.052;0.0329;0.0582;0.0685;-0.0321;-0.0261;0.0028
31/10/1996;0.0065;0.0218;0.0264;-0.0213;0.0016;-0.0509;0.0043;-0.028;-0.032
30/11/1996;0.0185;0.017;0.0685;0.0353;0.067;0.0266;-0.0158;-0.0022;0.0111
31/12/1996;0.0074;-0.0215;-0.0272;0.0194;0.0156;-0.0793;-0.0022;-0.0226;-0.0013
31/01/1997;0.0254;-0.0032;0.0578;0.0143;0.0821;-0.0537;-0.0629;-0.0496;0.0628
28/02/1997;0.0055;-0.0042;0.0037;-0.03;0.034;0.012;-0.0308;0.0074;0.0376
31/03/1997;-0.0155;-0.0201;-0.05;-0.0531;0.027;-0.0303;0.0095;-0.0322;-0.0333
30/04/1997;-0.0077;0.0138;0.0591;-0.0035;0.0109;0.0633;-0.0387;-0.0309;-0.0065
31/05/1997;0.0363;0.0052;0.0595;0.1053;0.0329;0.0474;0.0111;0.088;0.0212
30/06/1997;0.0203;0.0081;0.036;0.0363;0.0839;0.0262;-0.0219;0.0103;0.0467
31/07/1997;0.0373;0.0288;0.076;0.041;0.1144;-0.0138;-0.0553;-0.0391;0.0083
31/08/1997;-0.0007;-0.0175;-0.0573;0.0169;-0.102;-0.1039;0.0155;-0.0236;-0.1331
30/09/1997;0.0323;0.013;0.0457;0.0671;0.0716;-0.0192;0.0249;0.0004;0.0215
31/10/1997;-0.0247;0.0148;-0.032;-0.05;-0.0994;-0.0803;0.0197;-0.0039;-0.1696
30/11/1997;-0.0087;-0.0009;0.0334;-0.0124;0.037;0.0103;-0.0251;-0.0618;-0.0419
