;EONIA Index
31/12/1998;0.032
01/01/1999;0.032
04/01/1999;0.032
05/01/1999;0.032
06/01/1999;0.0321
07/01/1999;0.0321
08/01/1999;0.0321
11/01/1999;0.032
12/01/1999;0.0319
13/01/1999;0.0318
14/01/1999;0.0316
15/01/1999;0.031
18/01/1999;0.0302
19/01/1999;0.0298
20/01/1999;0.0301
21/01/1999;0.0303
22/01/1999;0.0307
25/01/1999;0.0314
26/01/1999;0.0322
27/01/1999;0.0313
28/01/1999;0.0312
29/01/1999;0.0316
01/02/1999;0.0317
02/02/1999;0.0318
03/02/1999;0.0318
04/02/1999;0.0317
05/02/1999;0.0315
08/02/1999;0.0315
09/02/1999;0.0313
10/02/1999;0.0312
11/02/1999;0.031
12/02/1999;0.0308
15/02/1999;0.0306
16/02/1999;0.0304
17/02/1999;0.0303
18/02/1999;0.0302
19/02/1999;0.0303
22/02/1999;0.0305
23/02/1999;0.0334
24/02/1999;0.0313
25/02/1999;0.0311
26/02/1999;0.0312
01/03/1999;0.0312
02/03/1999;0.0311
03/03/1999;0.0308
04/03/1999;0.0306
05/03/1999;0.0304
08/03/1999;0.0303
09/03/1999;0.0303
10/03/1999;0.0302
11/03/1999;0.0299
12/03/1999;0.0292
15/03/1999;0.029
16/03/1999;0.029
17/03/1999;0.0298
18/03/1999;0.0295
19/03/1999;0.0265
22/03/1999;0.0219
23/03/1999;0.0239
24/03/1999;0.0298
25/03/1999;0.0299
26/03/1999;0.0299
29/03/1999;0.0299
30/03/1999;0.0298
31/03/1999;0.0299
01/04/1999;0.0298
02/04/1999;0.0296
05/04/1999;0.0297
06/04/1999;0.0298
07/04/1999;0.0308
08/04/1999;0.0311
09/04/1999;0.0281
12/04/1999;0.0277
13/04/1999;0.0273
14/04/1999;0.026
15/04/1999;0.0258
16/04/1999;0.0255
19/04/1999;0.0251
20/04/1999;0.0247
21/04/1999;0.0247
22/04/1999;0.0247
23/04/1999;0.0293
26/04/1999;0.0253
27/04/1999;0.0253
28/04/1999;0.0252
29/04/1999;0.0252
30/04/1999;0.0253
03/05/1999;0.0252
04/05/1999;0.0251
05/05/1999;0.0251
06/05/1999;0.0251
07/05/1999;0.0251
10/05/1999;0.0251
11/05/1999;0.0251
12/05/1999;0.0251
13/05/1999;0.0251
14/05/1999;0.0251
17/05/1999;0.0252
18/05/1999;0.0253
19/05/1999;0.0264
20/05/1999;0.0302
21/05/1999;0.0261
24/05/1999;0.0254
25/05/1999;0.0254
26/05/1999;0.0252
27/05/1999;0.0251
28/05/1999;0.0251
31/05/1999;0.0252
01/06/1999;0.0252
02/06/1999;0.0253
03/06/1999;0.0254
04/06/1999;0.0254
07/06/1999;0.0254
08/06/1999;0.0254
09/06/1999;0.0254
10/06/1999;0.0254
11/06/1999;0.0255
14/06/1999;0.0255
15/06/1999;0.0255
16/06/1999;0.0256
17/06/1999;0.0258
18/06/1999;0.026
21/06/1999;0.0267
22/06/1999;0.0266
23/06/1999;0.0223
24/06/1999;0.0255
25/06/1999;0.0258
28/06/1999;0.026
29/06/1999;0.0266
30/06/1999;0.0276
01/07/1999;0.026
02/07/1999;0.0258
05/07/1999;0.0257
06/07/1999;0.0256
07/07/1999;0.0254
08/07/1999;0.0254
09/07/1999;0.0254
12/07/1999;0.0254
13/07/1999;0.0255
14/07/1999;0.0256
15/07/1999;0.0259
16/07/1999;0.0262
19/07/1999;0.0263
20/07/1999;0.0263
21/07/1999;0.026
22/07/1999;0.0204
23/07/1999;0.0187
26/07/1999;0.0257
27/07/1999;0.0259
28/07/1999;0.0258
29/07/1999;0.0258
30/07/1999;0.0258
02/08/1999;0.0258
03/08/1999;0.0255
04/08/1999;0.0254
05/08/1999;0.0253
06/08/1999;0.0253
09/08/1999;0.0253
10/08/1999;0.0254
11/08/1999;0.0255
12/08/1999;0.0256
13/08/1999;0.0257
16/08/1999;0.0257
17/08/1999;0.0255
18/08/1999;0.0216
19/08/1999;0.0185
20/08/1999;0.0194
23/08/1999;0.0186
24/08/1999;0.0255
25/08/1999;0.0256
26/08/1999;0.0256
27/08/1999;0.0255
30/08/1999;0.0255
31/08/1999;0.0256
01/09/1999;0.0256
02/09/1999;0.0255
03/09/1999;0.0254
06/09/1999;0.0253
07/09/1999;0.0252
08/09/1999;0.0252
09/09/1999;0.0251
10/09/1999;0.0251
13/09/1999;0.0251
14/09/1999;0.0251
15/09/1999;0.0251
16/09/1999;0.0251
17/09/1999;0.0246
20/09/1999;0.0205
21/09/1999;0.0238
22/09/1999;0.0192
23/09/1999;0.0174
24/09/1999;0.0252
27/09/1999;0.0252
28/09/1999;0.0252
29/09/1999;0.0252
30/09/1999;0.0263
01/10/1999;0.0257
04/10/1999;0.026
05/10/1999;0.0262
06/10/1999;0.0264
07/10/1999;0.0266
08/10/1999;0.0253
11/10/1999;0.0253
12/10/1999;0.0255
13/10/1999;0.0258
14/10/1999;0.026
15/10/1999;0.026
18/10/1999;0.0256
19/10/1999;0.0211
20/10/1999;0.0209
21/10/1999;0.0193
22/10/1999;0.0176
25/10/1999;0.0259
26/10/1999;0.028
27/10/1999;0.0277
28/10/1999;0.0265
29/10/1999;0.028
01/11/1999;0.0278
02/11/1999;0.0287
03/11/1999;0.0298
04/11/1999;0.0291
05/11/1999;0.0295
08/11/1999;0.0291
09/11/1999;0.0291
10/11/1999;0.0291
11/11/1999;0.0292
12/11/1999;0.0297
15/11/1999;0.0301
16/11/1999;0.0301
17/11/1999;0.029
18/11/1999;0.0266
19/11/1999;0.0274
22/11/1999;0.0272
23/11/1999;0.0311
24/11/1999;0.0304
25/11/1999;0.0305
26/11/1999;0.0304
29/11/1999;0.0304
30/11/1999;0.0315
01/12/1999;0.0307
02/12/1999;0.0305
03/12/1999;0.0304
06/12/1999;0.0304
07/12/1999;0.0307
08/12/1999;0.0304
09/12/1999;0.0302
10/12/1999;0.03
13/12/1999;0.0297
14/12/1999;0.0297
15/12/1999;0.0302
16/12/1999;0.0304
17/12/1999;0.0304
20/12/1999;0.0298
21/12/1999;0.0286
22/12/1999;0.0282
23/12/1999;0.0291
24/12/1999;0.0307
27/12/1999;0.0307
28/12/1999;0.0305
29/12/1999;0.0304
30/12/1999;0.0375
31/12/1999;0.0375
03/01/2000;0.0306
04/01/2000;0.0301
05/01/2000;0.0299
06/01/2000;0.0292
07/01/2000;0.0289
10/01/2000;0.0298
11/01/2000;0.0301
12/01/2000;0.0307
13/01/2000;0.0304
14/01/2000;0.0303
17/01/2000;0.0302
18/01/2000;0.0298
19/01/2000;0.0285
20/01/2000;0.0295
21/01/2000;0.0315
24/01/2000;0.0311
25/01/2000;0.0309
26/01/2000;0.0306
27/01/2000;0.031
28/01/2000;0.033
31/01/2000;0.0329
01/02/2000;0.0326
02/02/2000;0.0318
03/02/2000;0.0319
04/02/2000;0.0326
07/02/2000;0.0325
08/02/2000;0.0325
09/02/2000;0.0324
10/02/2000;0.0324
11/02/2000;0.0325
14/02/2000;0.0325
15/02/2000;0.0325
16/02/2000;0.0325
17/02/2000;0.0323
18/02/2000;0.032
21/02/2000;0.032
22/02/2000;0.0322
23/02/2000;0.0348
24/02/2000;0.0341
25/02/2000;0.0334
28/02/2000;0.0337
29/02/2000;0.0347
01/03/2000;0.0337
02/03/2000;0.0333
03/03/2000;0.0328
06/03/2000;0.0329
07/03/2000;0.0331
08/03/2000;0.0335
09/03/2000;0.0347
10/03/2000;0.0352
13/03/2000;0.0354
14/03/2000;0.0353
15/03/2000;0.035
16/03/2000;0.0349
17/03/2000;0.0349
20/03/2000;0.0348
21/03/2000;0.0349
22/03/2000;0.0358
23/03/2000;0.0386
24/03/2000;0.0359
27/03/2000;0.036
28/03/2000;0.036
29/03/2000;0.0362
30/03/2000;0.037
31/03/2000;0.0375
03/04/2000;0.036
04/04/2000;0.036
05/04/2000;0.0358
06/04/2000;0.0358
07/04/2000;0.0358
10/04/2000;0.0359
11/04/2000;0.0364
12/04/2000;0.0372
13/04/2000;0.0368
14/04/2000;0.0361
17/04/2000;0.0366
18/04/2000;0.0383
19/04/2000;0.0383
20/04/2000;0.0335
21/04/2000;0.0335
24/04/2000;0.0335
25/04/2000;0.0381
26/04/2000;0.0391
27/04/2000;0.0383
28/04/2000;0.0393
01/05/2000;0.0393
02/05/2000;0.039
03/05/2000;0.0391
04/05/2000;0.0396
05/05/2000;0.0403
